,,目標値,,"5,284",630,11.93%,"¥1,150","¥725,000",30,26,4.70%,"¥24,468",,,
,,1週目：11/1（土）〜11/2（日）,,38,6,15.79%,¥917,"¥5,503",0,0,0.00%,¥0,,,
,,2週目：11/3（月・祝）〜11/9（日）,,"1,576",187,11.87%,"¥1,189","¥222,398",10,5,2.67%,"¥44,480",,,
,,3週目：11/10（月）〜11/16（日）,,"1,833",198,10.80%,"¥1,048","¥207,588",6,3,1.52%,"¥69,196",,,
,,4週目：11/17（月）〜11/23（日）,,"2,161",207,9.58%,"¥1,037","¥214,745",11,5,2.42%,"¥42,949",,,
,,5週目：11/24（月・祝）〜11/30（日）,,"1,582",163,10.30%,¥953,"¥155,366",4,3,1.84%,"¥51,789",,,
,,合計,,"7,190",761,10.58%,"¥1,059","¥805,600",31,16,2.10%,"¥50,350",,,
,,着地見込み,,"7,190",761,10.58%,"¥1,059","¥805,600",31,16,2.10%,"¥50,350",,,
,,当初プランとの差分,,"1,906",131,-,-,"80,600",1,-10,-2.60%,"-¥25,882",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,指名_Yahoo!,,,,,,,,,,,,,
,,,,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
,,目標値,,644,52,8.00%,¥485,"¥25,000",4,3,8.00%,"¥6,063",,,
,,1週目：11/1（土）〜11/2（日）,,20,3,15.00%,¥546,"¥1,637",3,1,33.33%,"¥1,637",,,
,,2週目：11/3（月・祝）〜11/9（日）,,150,5,3.33%,¥524,"¥2,619",0,0,0.00%,¥0,,,
,,3週目：11/10（月）〜11/16（日）,,172,3,1.74%,¥368,"¥1,103",0,0,0.00%,¥0,,,
,,4週目：11/17（月）〜11/23（日）,,162,8,4.94%,¥340,"¥2,717",0,0,0.00%,¥0,,,
,,5週目：11/24（月・祝）〜11/30（日）,,145,2,1.38%,¥95,¥190,0,0,0.00%,¥0,,,
,,合計,,649,21,3.24%,¥394,"¥8,266",3,1,4.76%,"¥8,266",,,
,,着地見込み,,649,21,3.24%,¥394,"¥8,266",3,1,4.76%,"¥8,266",,,
,,当初プランとの差分,,5,-31,-,-,"-16,734",-1,-2,-3.24%,"-¥2,204",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,一般_セキュリティ診断,,,,,,,,,,,,,
,,,,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
,,目標値,,"19,990","1,379",6.90%,¥290,"¥400,000",10,1,0.70%,"¥41,429",,,
,,1週目：11/1（土）〜11/2（日）,,452,34,7.52%,¥150,"¥5,083",0,0,0.00%,¥0,,,
,,2週目：11/3（月・祝）〜11/9（日）,,"2,215",148,6.68%,¥263,"¥38,995",0,0,0.00%,¥0,,,
,,3週目：11/10（月）〜11/16（日）,,"3,142",234,7.45%,¥422,"¥98,799",0,0,0.00%,¥0,,,
,,4週目：11/17（月）〜11/23（日）,,"2,723",250,9.18%,¥475,"¥118,836",1,1,0.40%,"¥118,836",,,
,,5週目：11/24（月・祝）〜11/30（日）,,"1,884",201,10.67%,¥454,"¥91,155",1,1,0.50%,"¥91,155",,,
,,合計,,"10,416",867,8.32%,¥407,"¥352,868",2,2,0.23%,"¥176,434",,,
,,着地見込み,,"10,416",867,8.32%,¥407,"¥352,868",2,2,0.23%,"¥176,434",,,
,,当初プランとの差分,,"-9,574",-512,-,-,"-47,132",-8,1,-0.47%,"¥135,005",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,ディスプレイ_RTG,,,,,,,,,,,,,
,,,,IMP,Click,CTR,CPC,COST,AdsCV,リード,リードCVR,リードCPA,,,
,,目標値,,"1,923,077","19,231",1.00%,¥13,"¥250,000",5,0,0.03%,"¥52,000",,,
,,1週目：11/1（土）〜11/2（日）,,"388,004","8,178",2.11%,¥4,"¥35,905",0,0,0.00%,¥0,,,
,,2週目：11/3（月・祝）〜11/9（日）,,"233,341","6,271",2.69%,¥4,"¥27,909",0,0,0.00%,¥0,,,
,,3週目：11/10（月）〜11/16（日）,,"291,153","1,627",0.56%,¥25,"¥39,881",0,0,0.00%,¥0,※プレイスメント変更,,
,,4週目：11/17（月）〜11/23（日）,,"458,942","1,878",0.41%,¥22,"¥42,137",0,0,0.00%,¥0,,,
,,5週目：11/24（月・祝）〜11/30（日）,,"4,991",49,0.98%,¥11,¥540,0,0,0.00%,¥0,,,
,,合計,,"1,376,431","18,003",1.31%,¥8,"¥146,372",0,0,0.00%,¥0,,,
,,着地見込み,,"1,376,431","18,003",1.31%,¥8,"¥146,372",0,0,0.00%,¥0,,,
,,当初プランとの差分,,"-546,646","-1,228",-,-,"-103,628",-5,0,-0.03%,"-¥52,000",,,
