,,,,,,,,,,,,,,,,,,,,,,,,,
,やること：訪問済み未CVユーザーを対象に配信開始 → セグメント設計・再検討訴求 → 効率良ければ拡大,,,,,,,,,,,,,合計,"1,350,345","26,056",1.93%,¥46,"¥1,206,089",214,0.82%,"¥5,638",25,0.10%,"¥47,748"
,,,,,,,,,,,,,,当初プランとの差分,"-757,164","22,315",-,-,"-¥193,911",7,-,-,-32,-1.43%,"¥23,177"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,クリエイティブ・CVR改善,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,10月中に現在のプロダクトサイトの課題分析並びに広告の分析を実施する。,,,,,,,,,,,,,,,,,,,,,,,,
,その間、目先の改善を施す。指名検索でのCVRが低いため、CVR改善を進めたい。,,,,,,,,,,,,,,,,,,,,,,,,
,①電話番号を2P目に　②フォーム一体型へとUIを変更する,,,,,,,,,,,,,,,,,,,,,,,,
,なお、初期分析でフォーム到達CVRが低いこと=フォームの離脱率が高いことも考えられるため、現在、TGMを設定いただいたものでデータを蓄積し、フォームの左側のクリエイティブに問題があるかどうかを検証中,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,,,,,,,,,,,
,指名,"7,072",787,11.13%,¥585,"¥460,287",60.58,7.70%,"¥7,598",24,3.05%,"¥19,179",,,,,,,,,,,,,
,一般_脆弱性診断,"1,772",73,4.12%,¥639,"¥46,661",7.5,10.27%,"¥6,221",2,2.74%,"¥23,331",,,,,,,,,,,,,
,一般_生成AI,"5,682",516,9.08%,¥450,"¥232,449",83,16.09%,"¥2,801",0,0.00%,¥0,,,,,,,,,,,,,
,合計,"14,526","1,376",9.47%,¥537,"¥739,397",151,10.98%,"¥4,894",26,1.89%,"¥28,438",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,After,,,,,,,,,,,,,,,,,,,,,,,,
,,IMP,Click,CTR,CPC,COST,フォーム到達,フォーム到達CVR,フォーム到達CPA,完了,完了CVR,完了CPA,,,,,,,,,,,,,
,指名,"7,072",787,11.13%,¥585,"¥460,287",60.58,15.00%,"¥7,598",31,3.05%,"¥19,179",,,,,,,,,,,,,
,一般_脆弱性診断,"1,772",73,4.12%,¥639,"¥46,661",7.5,10.27%,"¥6,221",2,2.74%,"¥23,331",,,,,,,,,,,,,
,一般_生成AI,"5,682",516,9.08%,¥450,"¥232,449",83,16.09%,"¥2,801",0,0.00%,¥0,,,,,,,,,,,,,
,合計,"14,526","1,376",9.47%,¥537,"¥739,397",151,10.98%,"¥4,894",26,1.89%,"¥28,438",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,サービス紹介資料全般フォーム改善,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.figma.com/design/SiBWrNJaYmihTiCAincabD/AeyeScan%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%BC?node-id=1661-77&t=miY5tQRv6x1fhEOe-1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,フォーム一体型改善,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.figma.com/design/SiBWrNJaYmihTiCAincabD/AeyeScan%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%BC?node-id=1662-147&t=miY5tQRv6x1fhEOe-1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,なお、今後に関しては、,,,,,,,,,,,,,,,,,,,,,,,,
,指名,,,,,,,,,,,,,,,,,,,,,,,,
,一般_脆弱性診断,,,,,,,,,,,,,,,,,,,,,,,,
,それぞれでページを用意し、最適化をはかっていきたい。,,,,,,,,,,,,,,,,,,,,,,,,
,https://security.valtes.co.jp/lp/security02/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,キーワードによってコミュニケーションを変えていく（脆弱性診断と指名検索、生成AIのニーズが違うため）,,,,,,,,,,,,,,,,,,,,,,,,
,LPを作っていく,,,,,,,,,,,,,,,,,,,,,,,,
,脆弱性診断が幅広いため（TD側で工夫する）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,なぜ選ばれるのかをTOPにする,,,,,,,,,,,,,,,,,,,,,,,,
,→選ばれる理由を細分化していく、もっと権威性などを高める,,,,,,,,,,,,,,,,,,,,,,,,
,→複数検討するユーザーに対して、他の脆弱性診断の違いがわかりにくい,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,暫定スケジュール,,,,,,,,,,,,,,,,,,,,,,,,
,施策・ワイヤーフレームの確認：10/8,,,,,,,,,,,,,,,,,,,,,,,,
,デザイン：10/8までに文言などをもらえる場合、10/15までにデザイン可能（フォーム一体型、サービスフォームの改修、バナー）,,,,,,,,,,,,,,,,,,,,,,,,
,コーディング・実装：,フォーム一体型：3人日,,,,,,,,,,,,,,,,,,,,,,,
,,サービス資料フォーム改修：3人日,,,,,,,,,,,,,,,,,,,,,,,
,,,※どこまでの範囲でやるのかを要相談、HubSpotの調整も必要,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,※10月中は解析の初期調査を実施する,,,,,,,,,,,,,,,,,,,,,,,,
,※LPの作成についても要相談（一般_脆弱性診断は新規LPを。指名は既存を改修する形での進行をしたい。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,その他,,,,,,,,,,,,,,,,,,,,,,,,
,ゆるセキュ打ち合わせ,,,,,,,,,,,,,,,,,,,,,,,,
